original_index,final_status,codebert_status,codet5_status,mularec_status,correct_api,final_api,codebert_api,codet5_api,mularec_api
1,0,0,0,0,hashset.<init>,collection.size,utility.getvalidchoice,collection.size,collection.size
4,1,0,1,1,string.length,string.length,string.indexof,string.length,string.length
5,2,0,0,0,double.valueof,none.none,long.valueof,"treemap<long,vector<double>>.containskey","map<long,vector<double>>.entryset"
7,1,1,1,1,base64.decodetoobject,base64.decodetoobject,base64.decodetoobject,base64.decodetoobject,base64.decodetoobject
8,2,0,1,0,math.sqrt,none.none,point.math,math.sqrt,point.math
9,1,1,1,1,thread.start,thread.start,thread.start,thread.start,thread.start
14,0,0,0,0,jlist.invalidate,jlist.setmodel,jlist.setlistdata,defaultlistmodel<string>.removeallelements,jlist.setmodel
18,2,1,1,1,boundedrangemodel.setvalue,none.none,boundedrangemodel.setvalue,boundedrangemodel.setvalue,boundedrangemodel.setvalue
24,1,1,1,1,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append,stringbuffer.append
25,2,0,1,0,scheduler.checkvalidityofdata,none.none,scheduler.checkvalidperiod,scheduler.checkvalidityofdata,scheduler.checkvaliditydata
26,0,0,0,0,math.sqrt,math.pow,math.pow,vector.size,math.abs
30,1,1,1,1,connection.createstatement,connection.createstatement,connection.createstatement,connection.createstatement,connection.createstatement
31,2,1,1,1,axis.cast,none.none,axis.cast,axis.cast,axis.cast
32,2,0,0,1,concurrentmap<<message>>.get,none.none,message.getobject,"concurrentmap<inetsocketaddress,list<message>>.get",concurrentmap<<message>>.get
34,0,0,0,0,bufferedreader.readline,arraylist<integer>.add,"hashmap<string,string>.<init>",string.length,arraylist<integer>.add
35,2,0,1,1,node.setprev,none.none,node.setnext,node.setprev,node.setprev
36,0,0,0,1,string.substring,stringbuilder.<init>,stringbuilder.<init>,stringbuilder.<init>,string.substring
41,2,0,0,0,atomicinteger.getanddecrement,none.none,atomicboolean.set,atomicinteger.get,reentrantlock.unlock
42,0,0,0,0,parser.adddocument,filereader.<init>,arraylist.add,filereader.<init>,filereader.<init>
43,2,0,1,1,swingworker<void>.<init>,none.none,actionevent.<init>,swingworker<void>.<init>,swingworker<void>.<init>
44,1,1,1,1,vector.elements,vector.elements,vector.elements,vector.elements,vector.elements
45,0,0,0,1,hashset<string>.<init>,stringbuffer.<init>,stringbuffer.<init>,string.length,hashset<string>.<init>
47,0,0,1,0,string.compareto,string.charat,string.charat,string.compareto,string.charat
50,1,1,1,1,number.instance,number.instance,number.instance,number.instance,number.instance
53,1,1,1,1,jtextfield.<init>,jtextfield.<init>,jtextfield.<init>,jtextfield.<init>,jtextfield.<init>
54,2,1,1,1,audioformat.equals,none.none,audioformat.equals,audioformat.equals,audioformat.equals
55,0,0,0,1,jpanel.<init>,borderlayout.<init>,jpanel.add,borderlayout.<init>,jpanel.<init>
58,2,1,0,1,jlabel.<init>,none.none,jlabel.<init>,jbutton.setfont,jlabel.<init>
60,1,0,1,1,filereader.<init>,filereader.<init>,fileinputstream.<init>,filereader.<init>,filereader.<init>
62,0,0,0,0,jtextpane.gettext,printwriter.println,printwriter.println,jtextarea.append,printwriter.write
64,1,1,0,0,string.substring,string.substring,string.substring,stringbuffer.<init>,string.tochararray
69,1,1,1,1,stringbuilder.append,stringbuilder.append,stringbuilder.append,stringbuilder.append,stringbuilder.append
70,1,1,1,1,float.parsefloat,float.parsefloat,float.parsefloat,float.parsefloat,float.parsefloat
71,0,0,0,1,integer.tostring,string.length,string.length,string.indexof,integer.tostring
73,1,1,1,1,string.cast,string.cast,string.cast,string.cast,string.cast
76,0,0,0,0,jframe.repaint,timer.start,timer.start,timer.setrepeats,jdialog.setvisible
84,1,1,0,1,jpanel.<init>,jpanel.<init>,jpanel.<init>,jlabel.<init>,jpanel.<init>
86,1,1,1,1,arraylist.<init>,arraylist.<init>,arraylist.<init>,arraylist.<init>,arraylist.<init>
87,0,0,0,0,printwriter.println,dataoutputstream.writeshort,random.<init>,dataoutputstream.writeshort,outputstream.write
