CodeBERT_Prediction,CodeT5_Prediction,MulaRec_Prediction,Correct_Model_Names,Correct_API_Sequence,CodeBERT_Achievement_Rate,CodeT5_Achievement_Rate,MulaRec_Achievement_Rate,CodeBERT_Head_API_Rate,CodeT5_Head_API_Rate,MulaRec_Head_API_Rate
['string.indexof'],"['string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit', 'string.charat', 'character.isdigit']","['string.charat', 'string.substring', 'string.length', 'string.charat']",MulaRec,"['string.charat', 'string.substring', 'string.length', 'string.charat']",0.7513227513227513,0.930954092581262,0.9947709741805316,1.0,0.5,1.0
['joptionpane.showmessagedialog'],"['string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.equals', 'scanner.<init>', 'scanner.nextline', 'string.']",['string.equalsignorecase'],CodeBERT,['joptionpane.showmessagedialog'],0.7981220657276995,0.0,0.9791666666666666,1.0,0.96,1.0
"['list<message>.sizelist<message', '>.get']","['list<message>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<message', '>.isemptyarraylist<message', '>.<init>list<message', '>.addalllist<']",['list<message>.isempty'],MulaRec,['list<message>.isempty'],0.0,0.0,1.0,0.0,0.0,0.0
"['grid.validpositionset<position', '>.add']","['grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position', '>.add', 'position.<init>', 'grid.validpositionset<position>']","['grid.validpositionset<position', '>.add', 'grid.validpositionset<position', '>.addarraylist<position', '>.<init>']",MulaRec,"['grid.validpositionset<position', '>.add', 'grid.validpositionset<position', '>.addarraylist<position', '>.<init>']",0.0,0.0,0.0,0.0,0.0,0.0
['filereader.<init>'],"['filereader.<init>', 'bufferedreader.<init>']","['filereader.<init>', 'filereader.close']",MulaRec,"['filereader.<init>', 'filereader.close']",0.8278688524590164,0.7411846775228348,0.9834699358669274,1.0,1.0,0.5
"['popup.initialize', 'jpopupmenu.setvisible']","['popup.initialize', 'jlabel.settext']","['popup.initialize', 'jtextarea.settext', 'jtextarea.settext']",CodeT5,"['popup.initialize', 'jlabel.settext']",0.0,0.0,0.0,0.0,0.5,0.6666666666666666
"['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']","['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint']","['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.draw', 'graphics2d.setpaint', 'string.format', 'fontmetrics.stringwidth', 'graphics2d.drawstring', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']",MulaRec,"['graphics2d.setfont', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.draw', 'graphics2d.setpaint', 'string.format', 'fontmetrics.stringwidth', 'graphics2d.drawstring', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill', 'graphics2d.setpaint', 'double.<init>', 'graphics2d.fill']",0.7423645421388458,0.6921381408271595,0.9577863404061238,0.3,0.29411764705882354,0.35714285714285715
['string.trim'],"['stringbuilder.<init>', 'string.length', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.append', 'string.charat', 'stringbuilder.appendstring']","['string.replaceall', 'string.length', 'string.charat', 'string.replaceall']",CodeBERT,['string.trim'],0.7333333333333333,0.0,0.9766760567332454,1.0,0.9583333333333334,1.0
"['point.<init>', 'view.gettabs']","['list.<init>', 'point.<init>', 'view.gettabs', 'list.insertbehind', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getimagesize', 'state.getimageshowsize', 'state.getimagesize', 'state.getimageshowsize', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getimagesize', 'state.getimageshowsize', 'view.getpage', 'util.getemptybiselection', 'imageicon.<']","['point.<init>', 'view.gettabs', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getpen_selectedreplaced', 'state.setpenselected1', 'state.setpen_selectedreplaced', 'state.getidtabselection']",MulaRec,"['point.<init>', 'view.gettabs', 'view.getpage', 'util.getemptybiselection', 'imageicon.<init>', 'state.getpen_selectedreplaced', 'state.setpenselected1', 'state.setpen_selectedreplaced', 'state.getidtabselection']",0.0,0.0,0.0,0.5,0.15789473684210525,0.2222222222222222
"['biginteger.gcd', 'biginteger.divide']","['biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']","['biginteger.signum', 'biginteger.valueof', 'biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']",MulaRec,"['biginteger.signum', 'biginteger.valueof', 'biginteger.gcd', 'biginteger.divide', 'biginteger.gcd', 'biginteger.divide']",0.0,0.0,0.9941685161924892,0.0,0.0,0.0
['jtextarea.settext'],"['defaultmutabletreenode.getuserobject', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getuserobject', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>', 'defaultmutabletreenode.getpath', 'treepath.<init>defaultmutab']","['jtextarea.selectall', 'stringbuilder.<init>', 'stringbuilder.append', 'node.getstreets', 'stringbuilder.append', 'stringbuilder.tostring', 'jtextarea.replaceselection']",MulaRec,"['jtextarea.selectall', 'stringbuilder.<init>', 'stringbuilder.append', 'node.getstreets', 'stringbuilder.append', 'stringbuilder.tostring', 'jtextarea.replaceselection']",0.5384615384615384,0.0,0.0,1.0,0.0,0.5714285714285714
['parser.parse'],"['parser.parse', 'arraylist.<init>', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.add', 'arraylist.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.']","['parser.parse', 'arraylist.<init>', 'list.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.size', 'arraylist.toarray']",MulaRec,"['parser.parse', 'arraylist.<init>', 'list.iterator', 'iterator.hasnext', 'iterator.next', 'arraylist.size', 'arraylist.toarray']",0.7692307692307693,0.0,0.9909636735144008,0.0,0.6923076923076923,0.8571428571428571
"['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add']","['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistenerjpopupmenu']","['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jpopupmenu.show']",MulaRec,"['jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jmenuitem.<init>', 'actionlistener.<init>', 'jmenuitem.addactionlistener', 'jmenuitem.setenabled', 'jpopupmenu.add', 'jpopupmenu.show']",0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.38095238095238093
['string.valueof'],"['string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.format', 'font.<init>', 'string.']","['list<string>.sizelist<string', '>.get']",CodeBERT,['string.valueof'],0.7135416666666666,0.0,0.0,1.0,0.96,0.5
['system.arraycopy'],['math.abs'],['math.min'],CodeT5,['math.abs'],0.9636363636363636,0.7453271028037384,0.9787878787878788,1.0,1.0,1.0
"['jtoolbar.addseparator', 'jtoolbar.add']","['jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>', 'jtoolbar.add', 'jseparator.<init>jtoolbar']","['jtoolbar.addseparator', 'jtoolbar.add', 'jtoolbar.addseparator', 'jtoolbar.add']",MulaRec,"['jtoolbar.addseparator', 'jtoolbar.add', 'jtoolbar.addseparator', 'jtoolbar.add']",1.0,0.0,1.0,0.0,0.47368421052631576,0.0
['math.min'],['color.<init>'],['math.abs'],MulaRec,['math.abs'],0.8151515151515152,0.5497630331753555,0.9883177570093458,1.0,1.0,1.0
"['file.isdirectory', 'file.list', 'file.<init>']",['text.settext'],['joptionpane.showmessagedialog'],CodeT5,['text.settext'],0.6526659408529056,0.8333333333333334,0.9624413145539906,0.6666666666666666,0.0,1.0
"['arraylist.size', 'arraylist.get']","['bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb', 'bufferedimage.setrgb', 'color.<init>', 'color.getrgb']",['math.abs'],MulaRec,['math.abs'],0.8177446384454585,0.718142508227024,0.9883177570093458,1.0,0.3333333333333333,1.0
"['fileoutputstream.<init>', 'fileoutputstream.close']","['bytearrayoutputstream.tobytearray', 'bytearrayinputstream.<init>', 'imageio.read', 'imageio.getimagereadersbyformatnameiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<imagereader', '>.hasnextiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<imagereader', '>.hasnextiterator<imagereader', '>.next', 'imageio.getimagereadersiterator<']","['fileoutputstream.<init>', 'bytearrayoutputstream.writeto', 'fileoutputstream.close']",MulaRec,"['fileoutputstream.<init>', 'bytearrayoutputstream.writeto', 'fileoutputstream.close']",0.8753197413577958,0.0,0.0,0.5,0.25,0.3333333333333333
